Time :1390156017 | POS x : 0.96739 | POS y : 0.258081 | State : 1 |
Time :1390156018 | POS x : 3.70155 | POS y : 2.24308 | State : 1 |
Time :1390156018 | POS x : 3.88236 | POS y : 3.22778 | State : 1 |
Time :1390156019 | POS x : 3.31938 | POS y : 4.05456 | State : 1 |
Time :1390156019 | POS x : 2.32272 | POS y : 3.98721 | State : 1 |
Time :1390156019 | POS x : 1.32605 | POS y : 3.91986 | State : 1 |
Time :1390156019 | POS x : 0.450237 | POS y : 4.40168 | State : 1 |
Time :1390156019 | POS x : -0.301618 | POS y : 3.74449 | State : 1 |
Time :1390156020 | POS x : -0.0652367 | POS y : 2.77359 | State : 1 |
Time :1390156020 | POS x : -0.492336 | POS y : 1.87086 | State : 1 |
Time :1390156020 | POS x : -0.769987 | POS y : 0.911464 | State : 1 |
Time :1390156020 | POS x : 0.162183 | POS y : 0.547881 | State : 1 |
Time :1390156020 | POS x : 1.16157 | POS y : 0.605665 | State : 1 |
Time :1390156021 | POS x : 2.09241 | POS y : 0.974625 | State : 1 |
Time :1390156021 | POS x : 1.88656 | POS y : 1.61363 | State : 1 |
Time :1390156021 | POS x : 2.60769 | POS y : 2.30847 | State : 1 |
Time :1390156021 | POS x : 3.59698 | POS y : 2.15689 | State : 1 |
Time :1390156022 | POS x : 3.37294 | POS y : 1.79771 | State : 1 |
Time :1390156022 | POS x : 3.72397 | POS y : 0.861976 | State : 1 |
Time :1390156022 | POS x : 4.71109 | POS y : 1.02902 | State : 1 |
Time :1390156022 | POS x : 4.24498 | POS y : 1.91422 | State : 1 |
Time :1390156023 | POS x : 2.42642 | POS y : 1.26825 | State : 1 |
Time :1390156023 | POS x : 1.44265 | POS y : 1.44314 | State : 1 |
Time :1390156023 | POS x : 0.447243 | POS y : 1.52881 | State : 1 |
Time :1390156023 | POS x : 0.273569 | POS y : 0.545188 | State : 1 |
Time :1390156024 | POS x : -0.547807 | POS y : -0.0227569 | State : 1 |
Time :1390156024 | POS x : -1.44497 | POS y : -0.461419 | State : 1 |
Time :1390156024 | POS x : -2.43035 | POS y : -0.62489 | State : 1 |
Time :1390156024 | POS x : -3.25173 | POS y : -1.19284 | State : 1 |
Time :1390156024 | POS x : -4.17381 | POS y : -0.807233 | State : 1 |
Time :1390156025 | POS x : -5.00108 | POS y : -0.245909 | State : 1 |
Time :1390156025 | POS x : -5.44902 | POS y : -1.13847 | State : 1 |
Time :1390156025 | POS x : -5.60297 | POS y : -2.1254 | State : 1 |
Time :1390156025 | POS x : -6.45175 | POS y : -2.65153 | State : 1 |
Time :1390156025 | POS x : -6.46632 | POS y : -3.65041 | State : 1 |
Time :1390156026 | POS x : -6.61038 | POS y : -4.63883 | State : 1 |
Time :1390156026 | POS x : -6.11735 | POS y : -5.50841 | State : 1 |
Time :1390156026 | POS x : -5.18534 | POS y : -5.14241 | State : 1 |
Time :1390156026 | POS x : -4.32477 | POS y : -5.65243 | State : 1 |
Time :1390156026 | POS x : -3.61735 | POS y : -6.35922 | State : 1 |
Time :1390156027 | POS x : -3.04581 | POS y : -5.53695 | State : 1 |
Time :1390156027 | POS x : -3.21678 | POS y : -4.55085 | State : 1 |
Time :1390156027 | POS x : -3.14867 | POS y : -3.55211 | State : 1 |
Time :1390156027 | POS x : -3.7391 | POS y : -2.74475 | State : 1 |
Time :1390156027 | POS x : -3.98825 | POS y : -1.77554 | State : 1 |
Time :1390156028 | POS x : -3.84061 | POS y : -0.785353 | State : 1 |
Time :1390156028 | POS x : -4.42295 | POS y : 0.0278763 | State : 1 |
Time :1390156028 | POS x : -4.74867 | POS y : 0.973997 | State : 1 |
Time :1390156028 | POS x : -4.93931 | POS y : 1.95646 | State : 1 |
Time :1390156028 | POS x : -5.93572 | POS y : 1.88549 | State : 1 |
Time :1390156029 | POS x : -6.88459 | POS y : 2.19912 | State : 1 |
Time :1390156029 | POS x : -7.88244 | POS y : 2.24807 | State : 1 |
Time :1390156029 | POS x : -8.13732 | POS y : 1.28236 | State : 1 |
Time :1390156029 | POS x : -8.24487 | POS y : 0.289266 | State : 1 |
Time :1390156029 | POS x : -7.29449 | POS y : -0.0238781 | State : 1 |
Time :1390156030 | POS x : -6.78766 | POS y : 0.839751 | State : 1 |
Time :1390156030 | POS x : -6.61713 | POS y : 1.82628 | State : 1 |
Time :1390156030 | POS x : -6.19894 | POS y : 2.7361 | State : 1 |
Time :1390156030 | POS x : -5.22 | POS y : 2.94599 | State : 1 |
Time :1390156030 | POS x : -4.32275 | POS y : 2.50344 | State : 1 |
Time :1390156031 | POS x : -3.3416 | POS y : 2.30621 | State : 1 |
Time :1390156031 | POS x : -2.39441 | POS y : 1.98359 | State : 1 |
Time :1390156031 | POS x : -2.12548 | POS y : 1.02115 | State : 1 |
Time :1390156031 | POS x : -2.71262 | POS y : 0.213392 | State : 1 |
Time :1390156031 | POS x : -2.80026 | POS y : -0.781672 | State : 1 |
Time :1390156032 | POS x : -1.98512 | POS y : -1.36134 | State : 1 |
Time :1390156032 | POS x : -0.992503 | POS y : -1.48953 | State : 1 |
Time :1390156032 | POS x : -0.39331 | POS y : -2.28989 | State : 1 |
Time :1390156032 | POS x : 0.605864 | POS y : -2.22847 | State : 1 |
Time :1390156032 | POS x : 0.996602 | POS y : -1.30655 | State : 1 |
Time :1390156033 | POS x : 0.918035 | POS y : -0.30872 | State : 1 |
Time :1390156033 | POS x : -0.056612 | POS y : -0.0883738 | State : 1 |
Time :1390156033 | POS x : -1.03783 | POS y : -0.275109 | State : 1 |
Time :1390156033 | POS x : -1.1783 | POS y : -1.26405 | State : 1 |
Time :1390156033 | POS x : -1.34839 | POS y : -2.24831 | State : 1 |
Time :1390156034 | POS x : -0.590818 | POS y : -2.90121 | State : 1 |
Time :1390156034 | POS x : -0.373482 | POS y : -3.87653 | State : 1 |
Time :1390156034 | POS x : 0.549641 | POS y : -3.48864 | State : 1 |
Time :1390156034 | POS x : 0.0139872 | POS y : -2.64383 | State : 1 |
Time :1390156034 | POS x : -0.692874 | POS y : -1.93648 | State : 1 |
Time :1390156035 | POS x : -1.28515 | POS y : -2.74048 | State : 1 |
Time :1390156035 | POS x : -2.24076 | POS y : -3.03086 | State : 1 |
Time :1390156035 | POS x : -2.02654 | POS y : -4.00686 | State : 1 |
Time :1390156035 | POS x : -1.06336 | POS y : -4.2783 | State : 1 |
Time :1390156035 | POS x : -0.333459 | POS y : -3.59268 | State : 1 |
Time :1390156036 | POS x : -0.866422 | POS y : -2.74618 | State : 1 |
Time :1390156036 | POS x : -1.86429 | POS y : -2.69768 | State : 1 |
Time :1390156036 | POS x : -2.85385 | POS y : -2.55959 | State : 1 |
Time :1390156036 | POS x : -3.37833 | POS y : -1.70779 | State : 1 |
Time :1390156036 | POS x : -4.37708 | POS y : -1.72927 | State : 1 |
Time :1390156037 | POS x : -5.34183 | POS y : -1.98775 | State : 1 |
Time :1390156037 | POS x : -5.73789 | POS y : -2.90454 | State : 1 |
Time :1390156037 | POS x : -6.56644 | POS y : -3.46197 | State : 1 |
Time :1390156037 | POS x : -7.20837 | POS y : -4.22689 | State : 1 |
Time :1390156037 | POS x : -6.91023 | POS y : -5.18073 | State : 1 |
Time :1390156038 | POS x : -5.95363 | POS y : -5.4744 | State : 1 |
Time :1390156038 | POS x : -5.05618 | POS y : -5.91654 | State : 1 |
Time :1390156038 | POS x : -4.48093 | POS y : -6.73422 | State : 1 |
Time :1390156038 | POS x : -3.74207 | POS y : -6.05827 | State : 1 |
Time :1390156038 | POS x : -4.58259 | POS y : -5.51705 | State : 1 |
Time :1390156039 | POS x : -4.71132 | POS y : -4.5245 | State : 1 |
Time :1390156039 | POS x : -5.44832 | POS y : -3.8487 | State : 1 |
Time :1390156039 | POS x : -6.08501 | POS y : -4.61799 | State : 1 |
Time :1390156039 | POS x : -6.23492 | POS y : -5.60554 | State : 1 |
Time :1390156039 | POS x : -5.93029 | POS y : -6.55733 | State : 1 |
Time :1390156040 | POS x : -6.02066 | POS y : -7.55215 | State : 1 |
Time :1390156040 | POS x : -6.51784 | POS y : -8.41822 | State : 1 |
