Time :1390156017 | POS x : 0.778573 | POS y : -0.627793 | State : 1 |
Time :1390156018 | POS x : 3.96759 | POS y : 0.555518 | State : 1 |
Time :1390156018 | POS x : 4.87755 | POS y : 0.973389 | State : 1 |
Time :1390156019 | POS x : 4.14116 | POS y : 1.64985 | State : 1 |
Time :1390156019 | POS x : 3.66943 | POS y : 0.769646 | State : 1 |
Time :1390156019 | POS x : 5.68956 | POS y : 0.21815 | State : 1 |
Time :1390156019 | POS x : 6.53074 | POS y : -0.323161 | State : 1 |
Time :1390156020 | POS x : 7.31358 | POS y : -0.94564 | State : 1 |
Time :1390156020 | POS x : 8.22637 | POS y : -1.35531 | State : 1 |
Time :1390156020 | POS x : 8.92178 | POS y : -2.07388 | State : 1 |
Time :1390156020 | POS x : 9.16787 | POS y : -3.04238 | State : 1 |
Time :1390156020 | POS x : 10.0707 | POS y : -2.60928 | State : 1 |
Time :1390156021 | POS x : 10.5192 | POS y : -1.71401 | State : 1 |
Time :1390156021 | POS x : 10.8195 | POS y : -0.758854 | State : 1 |
Time :1390156021 | POS x : 11.1859 | POS y : 0.173026 | State : 1 |
Time :1390156021 | POS x : 11.5052 | POS y : 1.122 | State : 1 |
Time :1390156021 | POS x : 11.4502 | POS y : 2.12143 | State : 1 |
Time :1390156022 | POS x : 11.1691 | POS y : 3.08181 | State : 1 |
Time :1390156022 | POS x : 10.1837 | POS y : 2.91834 | State : 1 |
Time :1390156022 | POS x : 9.34539 | POS y : 3.46299 | State : 1 |
Time :1390156022 | POS x : 8.53555 | POS y : 2.87871 | State : 1 |
Time :1390156022 | POS x : 7.54568 | POS y : 2.7449 | State : 1 |
Time :1390156023 | POS x : 6.58153 | POS y : 3.00759 | State : 1 |
Time :1390156023 | POS x : 6.18757 | POS y : 3.92729 | State : 1 |
Time :1390156023 | POS x : 6.90496 | POS y : 5.62451 | State : 1 |
Time :1390156023 | POS x : 6.15072 | POS y : 6.28096 | State : 1 |
Time :1390156024 | POS x : 5.34089 | POS y : 5.69668 | State : 1 |
Time :1390156024 | POS x : 4.54293 | POS y : 5.0963 | State : 1 |
Time :1390156024 | POS x : 3.75715 | POS y : 4.48007 | State : 1 |
Time :1390156024 | POS x : 4.56926 | POS y : 4.7393 | State : 1 |
Time :1390156025 | POS x : 6.52424 | POS y : 5.92304 | State : 1 |
Time :1390156025 | POS x : 7.337 | POS y : 6.50803 | State : 1 |
Time :1390156025 | POS x : 6.61867 | POS y : 7.2037 | State : 1 |
Time :1390156025 | POS x : 6.64683 | POS y : 8.20433 | State : 1 |
Time :1390156026 | POS x : 6.36876 | POS y : 9.1656 | State : 1 |
Time :1390156026 | POS x : 5.40927 | POS y : 8.88828 | State : 1 |
Time :1390156026 | POS x : 5.28186 | POS y : 7.89756 | State : 1 |
Time :1390156026 | POS x : 4.56637 | POS y : 7.20096 | State : 1 |
Time :1390156026 | POS x : 3.85088 | POS y : 6.50437 | State : 1 |
Time :1390156027 | POS x : 3.08835 | POS y : 5.85959 | State : 1 |
Time :1390156027 | POS x : 2.29451 | POS y : 5.25378 | State : 1 |
Time :1390156027 | POS x : 1.87069 | POS y : 4.3495 | State : 1 |
Time :1390156027 | POS x : 1.19832 | POS y : 3.6112 | State : 1 |
Time :1390156027 | POS x : 1.97085 | POS y : 2.976 | State : 1 |
Time :1390156028 | POS x : 2.01309 | POS y : 1.97785 | State : 1 |
Time :1390156028 | POS x : 2.63604 | POS y : 1.19581 | State : 1 |
Time :1390156028 | POS x : 3.3957 | POS y : 0.545311 | State : 1 |
Time :1390156028 | POS x : 4.384 | POS y : 0.387433 | State : 1 |
Time :1390156028 | POS x : 5.10322 | POS y : -0.307382 | State : 1 |
Time :1390156029 | POS x : 5.53128 | POS y : -1.2106 | State : 1 |
Time :1390156029 | POS x : 6.48166 | POS y : -1.52375 | State : 1 |
Time :1390156029 | POS x : 6.83609 | POS y : -2.45821 | State : 1 |
Time :1390156029 | POS x : 7.69503 | POS y : -2.97096 | State : 1 |
Time :1390156029 | POS x : 8.34052 | POS y : -2.20534 | State : 1 |
Time :1390156030 | POS x : 9.33828 | POS y : -2.12399 | State : 1 |
Time :1390156030 | POS x : 10.2681 | POS y : -2.49349 | State : 1 |
Time :1390156030 | POS x : 11.2086 | POS y : -2.83497 | State : 1 |
Time :1390156030 | POS x : 11.5622 | POS y : -1.8982 | State : 1 |
Time :1390156030 | POS x : 11.3649 | POS y : -0.917063 | State : 1 |
Time :1390156031 | POS x : 10.3856 | POS y : -1.11361 | State : 1 |
Time :1390156031 | POS x : 9.92312 | POS y : -1.9987 | State : 1 |
Time :1390156031 | POS x : 10.4451 | POS y : -2.85124 | State : 1 |
Time :1390156031 | POS x : 10.8884 | POS y : -3.74716 | State : 1 |
Time :1390156031 | POS x : 11.7797 | POS y : -4.20148 | State : 1 |
Time :1390156032 | POS x : 12.5277 | POS y : -3.53566 | State : 1 |
Time :1390156032 | POS x : 11.7475 | POS y : -2.91028 | State : 1 |
Time :1390156032 | POS x : 10.7507 | POS y : -2.9749 | State : 1 |
Time :1390156032 | POS x : 10.1746 | POS y : -3.7906 | State : 1 |
Time :1390156032 | POS x : 9.17628 | POS y : -3.82526 | State : 1 |
Time :1390156033 | POS x : 9.38071 | POS y : -4.80335 | State : 1 |
Time :1390156033 | POS x : 8.94213 | POS y : -5.70055 | State : 1 |
Time :1390156033 | POS x : 9.03786 | POS y : -6.69505 | State : 1 |
Time :1390156033 | POS x : 9.78007 | POS y : -7.36533 | State : 1 |
Time :1390156033 | POS x : 10.5549 | POS y : -7.99772 | State : 1 |
Time :1390156034 | POS x : 11.4257 | POS y : -8.49006 | State : 1 |
Time :1390156034 | POS x : 12.3501 | POS y : -8.10511 | State : 1 |
Time :1390156034 | POS x : 13.2698 | POS y : -8.49898 | State : 1 |
Time :1390156034 | POS x : 13.3674 | POS y : -7.50266 | State : 1 |
Time :1390156034 | POS x : 13.963 | POS y : -6.69761 | State : 1 |
Time :1390156035 | POS x : 14.4667 | POS y : -5.83215 | State : 1 |
Time :1390156035 | POS x : 14.9354 | POS y : -4.94728 | State : 1 |
Time :1390156035 | POS x : 13.972 | POS y : -4.68194 | State : 1 |
Time :1390156035 | POS x : 12.9737 | POS y : -4.64343 | State : 1 |
Time :1390156035 | POS x : 13.0762 | POS y : -5.63727 | State : 1 |
Time :1390156036 | POS x : 14.0438 | POS y : -5.89249 | State : 1 |
Time :1390156036 | POS x : 14.8091 | POS y : -5.2466 | State : 1 |
Time :1390156036 | POS x : 15.6967 | POS y : -4.78303 | State : 1 |
Time :1390156036 | POS x : 16.6688 | POS y : -4.54347 | State : 1 |
Time :1390156036 | POS x : 17.394 | POS y : -3.85291 | State : 1 |
Time :1390156037 | POS x : 16.8894 | POS y : -2.98915 | State : 1 |
Time :1390156037 | POS x : 17.0199 | POS y : -1.99657 | State : 1 |
Time :1390156037 | POS x : 17.2097 | POS y : -1.01355 | State : 1 |
Time :1390156037 | POS x : 16.5588 | POS y : -0.254249 | State : 1 |
Time :1390156037 | POS x : 15.5639 | POS y : -0.162665 | State : 1 |
Time :1390156038 | POS x : 15.0168 | POS y : 0.67475 | State : 1 |
Time :1390156038 | POS x : 14.389 | POS y : 1.45327 | State : 1 |
Time :1390156038 | POS x : 13.4011 | POS y : 1.30553 | State : 1 |
Time :1390156038 | POS x : 12.8528 | POS y : 0.470898 | State : 1 |
Time :1390156038 | POS x : 11.9759 | POS y : -0.00690302 | State : 1 |
Time :1390156039 | POS x : 12.0254 | POS y : -1.00473 | State : 1 |
Time :1390156039 | POS x : 12.9385 | POS y : -1.41359 | State : 1 |
Time :1390156039 | POS x : 13.7855 | POS y : -1.94573 | State : 1 |
Time :1390156039 | POS x : 14.4142 | POS y : -2.72326 | State : 1 |
Time :1390156039 | POS x : 14.9194 | POS y : -3.58583 | State : 1 |
Time :1390156040 | POS x : 15.8462 | POS y : -3.20678 | State : 1 |
Time :1390156040 | POS x : 15.6614 | POS y : -2.22319 | State : 1 |
Time :1390156040 | POS x : 14.7323 | POS y : -2.58948 | State : 1 |
Time :1390156040 | POS x : 15.1549 | POS y : -3.49522 | State : 1 |
Time :1390156040 | POS x : 16.1494 | POS y : -3.37997 | State : 1 |
Time :1390156041 | POS x : 17.1398 | POS y : -3.52395 | State : 1 |
Time :1390156041 | POS x : 18.0636 | POS y : -3.90822 | State : 1 |
Time :1390156041 | POS x : 18.5222 | POS y : -4.79637 | State : 1 |
Time :1390156041 | POS x : 18.5285 | POS y : -5.79536 | State : 1 |
Time :1390156041 | POS x : 19.5274 | POS y : -5.85981 | State : 1 |
Time :1390156042 | POS x : 20.3884 | POS y : -6.36908 | State : 1 |
Time :1390156042 | POS x : 17.669 | POS y : -5.9841 | State : 1 |
Time :1390156043 | POS x : 16.6824 | POS y : -6.14022 | State : 1 |
Time :1390156043 | POS x : 16.1329 | POS y : -6.97403 | State : 1 |
Time :1390156043 | POS x : 15.6086 | POS y : -7.82397 | State : 1 |
Time :1390156043 | POS x : 14.7457 | POS y : -8.32659 | State : 1 |
Time :1390156043 | POS x : 13.9869 | POS y : -8.97574 | State : 1 |
Time :1390156044 | POS x : 14.0149 | POS y : -9.97437 | State : 1 |
Time :1390156044 | POS x : 14.475 | POS y : -10.8618 | State : 1 |
Time :1390156044 | POS x : 14.0473 | POS y : -11.7642 | State : 1 |
Time :1390156044 | POS x : 13.7883 | POS y : -12.7288 | State : 1 |
Time :1390156044 | POS x : 14.0724 | POS y : -13.6869 | State : 1 |
Time :1390156045 | POS x : 14.9077 | POS y : -14.2371 | State : 1 |
Time :1390156045 | POS x : 15.1143 | POS y : -15.2148 | State : 1 |
Time :1390156045 | POS x : 15.2419 | POS y : -16.2057 | State : 1 |
Time :1390156045 | POS x : 16.1994 | POS y : -15.9129 | State : 1 |
Time :1390156045 | POS x : 16.135 | POS y : -14.914 | State : 1 |
Time :1390156046 | POS x : 16.9283 | POS y : -14.3029 | State : 1 |
Time :1390156046 | POS x : 17.6429 | POS y : -13.6013 | State : 1 |
Time :1390156046 | POS x : 18.5944 | POS y : -13.2894 | State : 1 |
Time :1390156046 | POS x : 19.3562 | POS y : -12.6395 | State : 1 |
Time :1390156047 | POS x : 20.3246 | POS y : -12.3851 | State : 1 |
Time :1390156047 | POS x : 17.4645 | POS y : -12.3248 | State : 1 |
Time :1390156047 | POS x : 16.4899 | POS y : -12.5433 | State : 1 |
Time :1390156047 | POS x : 15.494 | POS y : -12.4638 | State : 1 |
Time :1390156048 | POS x : 14.8568 | POS y : -11.6929 | State : 1 |
Time :1390156048 | POS x : 13.9957 | POS y : -12.1986 | State : 1 |
Time :1390156048 | POS x : 13.9273 | POS y : -13.1952 | State : 1 |
Time :1390156048 | POS x : 13.8789 | POS y : -14.1929 | State : 1 |
Time :1390156048 | POS x : 14.826 | POS y : -13.8681 | State : 1 |
Time :1390156049 | POS x : 15.0754 | POS y : -12.8985 | State : 1 |
Time :1390156049 | POS x : 14.3392 | POS y : -12.2218 | State : 1 |
Time :1390156049 | POS x : 13.8099 | POS y : -11.373 | State : 1 |
Time :1390156049 | POS x : 13.7919 | POS y : -10.3722 | State : 1 |
Time :1390156049 | POS x : 13.8639 | POS y : -9.37373 | State : 1 |
Time :1390156050 | POS x : 12.9296 | POS y : -9.01875 | State : 1 |
Time :1390156050 | POS x : 12.0064 | POS y : -8.63586 | State : 1 |
Time :1390156050 | POS x : 11.2414 | POS y : -9.27768 | State : 1 |
Time :1390156050 | POS x : 10.5962 | POS y : -10.0398 | State : 1 |
Time :1390156050 | POS x : 11.5421 | POS y : -10.3661 | State : 1 |
Time :1390156051 | POS x : 11.7557 | POS y : -9.38796 | State : 1 |
Time :1390156051 | POS x : 10.8456 | POS y : -8.97463 | State : 1 |
Time :1390156051 | POS x : 10.0129 | POS y : -9.52581 | State : 1 |
Time :1390156051 | POS x : 9.94816 | POS y : -10.5226 | State : 1 |
Time :1390156051 | POS x : 10.9476 | POS y : -10.5782 | State : 1 |
Time :1390156052 | POS x : 10.6506 | POS y : -9.62266 | State : 1 |
Time :1390156052 | POS x : 9.83088 | POS y : -9.05027 | State : 1 |
Time :1390156052 | POS x : 9.16576 | POS y : -9.79511 | State : 1 |
Time :1390156052 | POS x : 8.21809 | POS y : -10.1104 | State : 1 |
Time :1390156052 | POS x : 7.28976 | POS y : -9.74013 | State : 1 |
Time :1390156053 | POS x : 6.64456 | POS y : -8.97596 | State : 1 |
Time :1390156053 | POS x : 5.77864 | POS y : -9.4734 | State : 1 |
Time :1390156053 | POS x : 4.84796 | POS y : -9.83569 | State : 1 |
Time :1390156053 | POS x : 4.17542 | POS y : -10.5738 | State : 1 |
Time :1390156053 | POS x : 3.55621 | POS y : -11.3573 | State : 1 |
Time :1390156054 | POS x : 3.94755 | POS y : -12.2769 | State : 1 |
Time :1390156054 | POS x : 4.8214 | POS y : -12.7639 | State : 1 |
Time :1390156054 | POS x : 5.33739 | POS y : -13.6201 | State : 1 |
Time :1390156054 | POS x : 6.23453 | POS y : -14.0629 | State : 1 |
Time :1390156054 | POS x : 6.56958 | POS y : -13.1194 | State : 1 |
Time :1390156055 | POS x : 6.95131 | POS y : -12.1937 | State : 1 |
Time :1390156055 | POS x : 7.69065 | POS y : -11.5182 | State : 1 |
Time :1390156055 | POS x : 7.7522 | POS y : -10.5191 | State : 1 |
Time :1390156055 | POS x : 7.16453 | POS y : -9.70969 | State : 1 |
Time :1390156056 | POS x : 6.24501 | POS y : -9.31799 | State : 1 |
Time :1390156056 | POS x : 5.95797 | POS y : -10.2746 | State : 1 |
Time :1390156056 | POS x : 5.64233 | POS y : -11.2222 | State : 1 |
Time :1390156056 | POS x : 6.57088 | POS y : -11.5948 | State : 1 |
Time :1390156056 | POS x : 7.18007 | POS y : -10.8001 | State : 1 |
Time :1390156057 | POS x : 6.33095 | POS y : -10.2725 | State : 1 |
Time :1390156057 | POS x : 6.1772 | POS y : -11.2594 | State : 1 |
Time :1390156057 | POS x : 7.15493 | POS y : -11.4729 | State : 1 |
Time :1390156057 | POS x : 7.39068 | POS y : -10.4999 | State : 1 |
Time :1390156057 | POS x : 6.70782 | POS y : -9.76924 | State : 1 |
Time :1390156058 | POS x : 5.78306 | POS y : -9.39013 | State : 1 |
Time :1390156058 | POS x : 5.04711 | POS y : -10.0651 | State : 1 |
Time :1390156058 | POS x : 5.62216 | POS y : -10.8829 | State : 1 |
Time :1390156058 | POS x : 5.8428 | POS y : -11.8575 | State : 1 |
Time :1390156058 | POS x : 6.81287 | POS y : -12.1032 | State : 1 |
Time :1390156059 | POS x : 7.50384 | POS y : -12.8261 | State : 1 |
Time :1390156059 | POS x : 8.12696 | POS y : -13.608 | State : 1 |
Time :1390156059 | POS x : 7.9307 | POS y : -14.5874 | State : 1 |
Time :1390156059 | POS x : 8.92921 | POS y : -14.5158 | State : 1 |
Time :1390156059 | POS x : 9.14858 | POS y : -13.5389 | State : 1 |
Time :1390156060 | POS x : 8.78811 | POS y : -12.6055 | State : 1 |
Time :1390156060 | POS x : 8.5129 | POS y : -11.6434 | State : 1 |
Time :1390156060 | POS x : 7.91682 | POS y : -10.8402 | State : 1 |
Time :1390156060 | POS x : 8.0178 | POS y : -9.84426 | State : 1 |
Time :1390156060 | POS x : 7.29462 | POS y : -9.15365 | State : 1 |
Time :1390156061 | POS x : 7.03868 | POS y : -8.18622 | State : 1 |
Time :1390156061 | POS x : 7.30656 | POS y : -7.22149 | State : 1 |
Time :1390156061 | POS x : 6.30798 | POS y : -7.24954 | State : 1 |
Time :1390156061 | POS x : 5.46122 | POS y : -7.77893 | State : 1 |
Time :1390156061 | POS x : 6.14258 | POS y : -8.5108 | State : 1 |
Time :1390156062 | POS x : 7.11062 | POS y : -8.25518 | State : 1 |
Time :1390156062 | POS x : 7.90005 | POS y : -8.8693 | State : 1 |
Time :1390156062 | POS x : 8.171 | POS y : -7.90543 | State : 1 |
