Time :1390156035 | POS x : 0.356755 | POS y : -12.4107 | State : 2 |
Time :1390156036 | POS x : 0.221266 | POS y : -13.4003 | State : 2 |
Object Deposited
Time :1390156036 | POS x : 0.353661 | POS y : -12.408 | State : 3 |
Time :1390156036 | POS x : 0.48556 | POS y : -11.4156 | State : 3 |
Time :1390156037 | POS x : 0.616963 | POS y : -10.4231 | State : 3 |
Time :1390156037 | POS x : 0.747871 | POS y : -9.43058 | State : 3 |
Time :1390156037 | POS x : 0.878283 | POS y : -8.43799 | State : 3 |
Time :1390156037 | POS x : 1.0082 | POS y : -7.44534 | State : 3 |
Time :1390156037 | POS x : 1.13762 | POS y : -6.45262 | State : 3 |
Time :1390156038 | POS x : 1.26654 | POS y : -5.45983 | State : 3 |
Time :1390156038 | POS x : 1.39497 | POS y : -4.46699 | State : 3 |
Time :1390156038 | POS x : 1.5229 | POS y : -3.47407 | State : 3 |
Time :1390156038 | POS x : 1.65034 | POS y : -2.4811 | State : 3 |
Time :1390156038 | POS x : 1.77728 | POS y : -1.48806 | State : 3 |
Time :1390156039 | POS x : 1.90373 | POS y : -0.494962 | State : 3 |
Time :1390156039 | POS x : 2.02968 | POS y : 0.498201 | State : 3 |
Time :1390156039 | POS x : 2.15513 | POS y : 1.49143 | State : 3 |
Time :1390156039 | POS x : 2.28009 | POS y : 2.48471 | State : 3 |
Time :1390156039 | POS x : 2.40455 | POS y : 3.47806 | State : 3 |
Time :1390156040 | POS x : 2.52851 | POS y : 4.47148 | State : 3 |
Time :1390156040 | POS x : 2.65198 | POS y : 5.46495 | State : 3 |
Time :1390156040 | POS x : 2.77495 | POS y : 6.45848 | State : 3 |
Time :1390156040 | POS x : 2.89743 | POS y : 7.45208 | State : 3 |
Time :1390156040 | POS x : 3.01941 | POS y : 8.44573 | State : 3 |
Time :1390156041 | POS x : 3.14089 | POS y : 9.43945 | State : 3 |
Time :1390156041 | POS x : 3.26187 | POS y : 10.4332 | State : 3 |
Time :1390156041 | POS x : 3.38237 | POS y : 11.4271 | State : 3 |
Time :1390156041 | POS x : 3.50236 | POS y : 12.421 | State : 3 |
Time :1390156041 | POS x : 3.62186 | POS y : 13.4149 | State : 3 |
Time :1390156042 | POS x : 3.74086 | POS y : 14.4089 | State : 3 |
Time :1390156042 | POS x : 3.85936 | POS y : 15.403 | State : 3 |
Time :1390156042 | POS x : 3.97737 | POS y : 16.3971 | State : 3 |
Time :1390156042 | POS x : 4.38846 | POS y : 15.4861 | State : 0 |
Time :1390156042 | POS x : 5.2138 | POS y : 16.0532 | State : 4 |
Time :1390156043 | POS x : 5.96545 | POS y : 16.7149 | State : 1 |
Time :1390156043 | POS x : 6.47115 | POS y : 17.5792 | State : 1 |
Time :1390156043 | POS x : 6.86988 | POS y : 18.4977 | State : 1 |
Time :1390156043 | POS x : 5.89281 | POS y : 18.707 | State : 1 |
Time :1390156043 | POS x : 5.70433 | POS y : 17.7261 | State : 1 |
Time :1390156044 | POS x : 6.69389 | POS y : 17.5762 | State : 1 |
Time :1390156044 | POS x : 7.16748 | POS y : 18.4585 | State : 1 |
Time :1390156044 | POS x : 8.11498 | POS y : 18.7822 | State : 1 |
Time :1390156044 | POS x : 7.8514 | POS y : 19.7476 | State : 1 |
Time :1390156045 | POS x : 7.76473 | POS y : 20.7447 | State : 1 |
Time :1390156045 | POS x : 6.97948 | POS y : 18.0173 | State : 1 |
Time :1390156045 | POS x : 6.17161 | POS y : 17.4303 | State : 1 |
Time :1390156046 | POS x : 5.23033 | POS y : 17.7661 | State : 1 |
Time :1390156046 | POS x : 4.23619 | POS y : 17.6687 | State : 1 |
Time :1390156046 | POS x : 4.05597 | POS y : 16.6862 | State : 1 |
Time :1390156046 | POS x : 4.05475 | POS y : 15.6872 | State : 1 |
Time :1390156046 | POS x : 3.97634 | POS y : 14.6914 | State : 4 |
Time :1390156047 | POS x : 3.8446 | POS y : 13.7013 | State : 2 |
Time :1390156047 | POS x : 3.71283 | POS y : 12.7111 | State : 2 |
Time :1390156047 | POS x : 3.58104 | POS y : 11.721 | State : 2 |
Time :1390156048 | POS x : 3.44921 | POS y : 10.7308 | State : 2 |
Time :1390156048 | POS x : 3.31735 | POS y : 9.74069 | State : 2 |
Time :1390156048 | POS x : 3.18545 | POS y : 8.75056 | State : 2 |
Time :1390156048 | POS x : 3.05352 | POS y : 7.76043 | State : 2 |
Time :1390156048 | POS x : 2.92155 | POS y : 6.77031 | State : 2 |
Time :1390156049 | POS x : 2.78955 | POS y : 5.78019 | State : 2 |
Time :1390156049 | POS x : 2.6575 | POS y : 4.79008 | State : 2 |
Time :1390156049 | POS x : 2.52541 | POS y : 3.79998 | State : 2 |
Time :1390156050 | POS x : 2.65645 | POS y : 4.79249 | State : 3 |
Time :1390156050 | POS x : 2.78699 | POS y : 5.78506 | State : 3 |
Time :1390156050 | POS x : 2.91703 | POS y : 6.7777 | State : 3 |
Time :1390156050 | POS x : 3.04658 | POS y : 7.77041 | State : 3 |
Time :1390156051 | POS x : 3.17564 | POS y : 8.76317 | State : 3 |
Time :1390156051 | POS x : 3.3042 | POS y : 9.756 | State : 3 |
Time :1390156051 | POS x : 3.43226 | POS y : 10.7489 | State : 3 |
Time :1390156051 | POS x : 3.55983 | POS y : 11.7419 | State : 3 |
Time :1390156051 | POS x : 3.6869 | POS y : 12.7349 | State : 3 |
Time :1390156052 | POS x : 3.81347 | POS y : 13.728 | State : 3 |
Time :1390156052 | POS x : 3.93955 | POS y : 14.7211 | State : 3 |
Time :1390156052 | POS x : 4.06513 | POS y : 15.7143 | State : 3 |
Time :1390156052 | POS x : 4.19022 | POS y : 16.7076 | State : 3 |
Time :1390156052 | POS x : 4.19769 | POS y : 15.7086 | State : 0 |
Time :1390156053 | POS x : 4.9265 | POS y : 16.3954 | State : 4 |
Time :1390156053 | POS x : 5.33993 | POS y : 17.3074 | State : 1 |
Time :1390156053 | POS x : 4.36415 | POS y : 17.5226 | State : 1 |
Time :1390156053 | POS x : 3.77207 | POS y : 18.3288 | State : 1 |
Time :1390156053 | POS x : 3.10866 | POS y : 17.5824 | State : 1 |
Time :1390156054 | POS x : 3.05297 | POS y : 16.585 | State : 1 |
Time :1390156054 | POS x : 2.65838 | POS y : 15.6676 | State : 1 |
Time :1390156054 | POS x : 2.10575 | POS y : 14.8358 | State : 1 |
