Time :1390156037 | POS x : 9.42815 | POS y : 6.36438 | State : 1 |
Time :1390156037 | POS x : 8.63679 | POS y : 5.75534 | State : 1 |
Time :1390156037 | POS x : 7.68733 | POS y : 5.44546 | State : 1 |
Time :1390156037 | POS x : 6.8899 | POS y : 4.84437 | State : 1 |
Time :1390156037 | POS x : 5.93739 | POS y : 4.54402 | State : 1 |
Time :1390156038 | POS x : 4.96853 | POS y : 4.30138 | State : 1 |
Time :1390156038 | POS x : 5.13409 | POS y : 3.31602 | State : 1 |
Time :1390156038 | POS x : 4.40759 | POS y : 2.63092 | State : 1 |
Time :1390156038 | POS x : 4.38391 | POS y : 1.63222 | State : 1 |
Time :1390156038 | POS x : 4.56917 | POS y : 0.650344 | State : 1 |
Time :1390156039 | POS x : 5.45924 | POS y : 0.19358 | State : 1 |
Time :1390156039 | POS x : 5.58618 | POS y : 1.18662 | State : 1 |
Time :1390156039 | POS x : 5.90769 | POS y : 2.13486 | State : 1 |
Time :1390156039 | POS x : 4.9087 | POS y : 2.13293 | State : 1 |
Time :1390156039 | POS x : 3.91038 | POS y : 2.17099 | State : 1 |
Time :1390156040 | POS x : 3.33209 | POS y : 1.35687 | State : 1 |
Time :1390156040 | POS x : 3.84047 | POS y : 0.496147 | State : 1 |
Time :1390156040 | POS x : 4.15806 | POS y : -0.451413 | State : 1 |
Time :1390156040 | POS x : 4.57788 | POS y : -1.35848 | State : 1 |
Time :1390156040 | POS x : 5.55054 | POS y : -1.59388 | State : 1 |
Time :1390156041 | POS x : 5.61095 | POS y : -0.594647 | State : 1 |
Time :1390156041 | POS x : 5.46197 | POS y : 0.395042 | State : 1 |
Time :1390156041 | POS x : 4.56681 | POS y : -0.0476844 | State : 1 |
Time :1390156041 | POS x : 3.57183 | POS y : -0.136318 | State : 1 |
Time :1390156041 | POS x : 2.75333 | POS y : 0.437752 | State : 1 |
Time :1390156042 | POS x : 2.18882 | POS y : -0.385992 | State : 1 |
Time :1390156042 | POS x : 1.49294 | POS y : -1.10218 | State : 1 |
Time :1390156042 | POS x : 1.98991 | POS y : -1.96951 | State : 1 |
Time :1390156042 | POS x : 2.80586 | POS y : -1.38898 | State : 1 |
Time :1390156042 | POS x : 2.62059 | POS y : -0.405478 | State : 1 |
Time :1390156043 | POS x : 1.64221 | POS y : -0.202445 | State : 1 |
Time :1390156043 | POS x : 1.12278 | POS y : 0.652455 | State : 1 |
Time :1390156043 | POS x : 0.531219 | POS y : -0.152072 | State : 1 |
Time :1390156043 | POS x : 1.46986 | POS y : -0.49869 | State : 1 |
Time :1390156043 | POS x : 2.45728 | POS y : -0.333469 | State : 1 |
Time :1390156044 | POS x : 3.41214 | POS y : -0.0322068 | State : 1 |
Time :1390156044 | POS x : 4.22993 | POS y : 0.545723 | State : 1 |
Time :1390156044 | POS x : 5.04191 | POS y : 1.13179 | State : 1 |
Time :1390156044 | POS x : 5.74322 | POS y : 1.84663 | State : 1 |
Time :1390156044 | POS x : 6.65935 | POS y : 2.25079 | State : 1 |
Time :1390156045 | POS x : 6.10053 | POS y : 3.08041 | State : 1 |
Time :1390156045 | POS x : 5.90858 | POS y : 4.06261 | State : 1 |
Time :1390156045 | POS x : 6.17228 | POS y : 5.02849 | State : 1 |
Time :1390156045 | POS x : 6.36786 | POS y : 6.01038 | State : 1 |
Time :1390156045 | POS x : 7.00989 | POS y : 6.7789 | State : 1 |
Time :1390156046 | POS x : 6.69237 | POS y : 7.72781 | State : 1 |
Time :1390156046 | POS x : 7.26281 | POS y : 8.55084 | State : 1 |
Time :1390156046 | POS x : 8.25472 | POS y : 8.68639 | State : 1 |
Time :1390156046 | POS x : 7.89023 | POS y : 9.61821 | State : 1 |
Time :1390156046 | POS x : 7.01204 | POS y : 10.0957 | State : 1 |
Time :1390156047 | POS x : 6.17842 | POS y : 9.54584 | State : 1 |
Time :1390156047 | POS x : 6.72959 | POS y : 8.71179 | State : 1 |
Time :1390156047 | POS x : 7.335 | POS y : 9.50947 | State : 1 |
Time :1390156047 | POS x : 6.59741 | POS y : 10.1846 | State : 1 |
Time :1390156047 | POS x : 6.07488 | POS y : 11.0376 | State : 1 |
Time :1390156048 | POS x : 5.78899 | POS y : 11.9966 | State : 1 |
Time :1390156048 | POS x : 4.81405 | POS y : 12.2156 | State : 1 |
Time :1390156048 | POS x : 4.1552 | POS y : 11.4652 | State : 1 |
Time :1390156048 | POS x : 3.16337 | POS y : 11.5858 | State : 1 |
Time :1390156048 | POS x : 2.34483 | POS y : 11.0138 | State : 1 |
Time :1390156049 | POS x : 1.67109 | POS y : 10.2767 | State : 1 |
Time :1390156049 | POS x : 2.12443 | POS y : 9.38585 | State : 1 |
Time :1390156049 | POS x : 3.07193 | POS y : 9.70956 | State : 1 |
Time :1390156049 | POS x : 3.94636 | POS y : 10.1975 | State : 1 |
Time :1390156049 | POS x : 3.45239 | POS y : 11.0674 | State : 1 |
Time :1390156050 | POS x : 3.00247 | POS y : 11.961 | State : 1 |
Time :1390156050 | POS x : 2.26974 | POS y : 11.2825 | State : 1 |
Time :1390156050 | POS x : 1.46686 | POS y : 10.6888 | State : 1 |
Time :1390156050 | POS x : 1.50405 | POS y : 9.69042 | State : 1 |
Time :1390156050 | POS x : 1.56122 | POS y : 8.693 | State : 1 |
Time :1390156051 | POS x : 2.09865 | POS y : 7.85005 | State : 1 |
Time :1390156051 | POS x : 3.05943 | POS y : 7.57028 | State : 1 |
Time :1390156051 | POS x : 4.0047 | POS y : 7.90044 | State : 1 |
Time :1390156051 | POS x : 3.66787 | POS y : 8.84264 | State : 1 |
Time :1390156051 | POS x : 2.82365 | POS y : 8.30923 | State : 1 |
Time :1390156052 | POS x : 3.41623 | POS y : 7.50398 | State : 1 |
Time :1390156052 | POS x : 4.36072 | POS y : 7.17359 | State : 1 |
Time :1390156052 | POS x : 4.93706 | POS y : 6.35668 | State : 1 |
Time :1390156052 | POS x : 5.58882 | POS y : 7.11697 | State : 1 |
Time :1390156052 | POS x : 5.36045 | POS y : 8.09131 | State : 1 |
Time :1390156053 | POS x : 4.39238 | POS y : 8.3391 | State : 1 |
Time :1390156053 | POS x : 4.00381 | POS y : 7.41911 | State : 1 |
Time :1390156053 | POS x : 4.11442 | POS y : 6.42614 | State : 1 |
Time :1390156053 | POS x : 5.11367 | POS y : 6.48613 | State : 1 |
Time :1390156053 | POS x : 5.20631 | POS y : 7.48292 | State : 1 |
Time :1390156054 | POS x : 4.21113 | POS y : 7.3966 | State : 1 |
Time :1390156054 | POS x : 3.4176 | POS y : 8.00482 | State : 1 |
Time :1390156054 | POS x : 2.47835 | POS y : 7.66533 | State : 1 |
Time :1390156054 | POS x : 2.08684 | POS y : 6.74658 | State : 1 |
Time :1390156055 | POS x : 1.19066 | POS y : 6.30593 | State : 1 |
Time :1390156055 | POS x : 0.43163 | POS y : 5.65704 | State : 1 |
Time :1390156055 | POS x : -0.535646 | POS y : 5.90792 | State : 1 |
Time :1390156055 | POS x : -0.875886 | POS y : 6.8489 | State : 1 |
Time :1390156055 | POS x : -0.903118 | POS y : 7.8495 | State : 1 |
Time :1390156056 | POS x : -1.1575 | POS y : 8.81734 | State : 1 |
Time :1390156056 | POS x : -2.11259 | POS y : 8.52527 | State : 1 |
Time :1390156056 | POS x : -2.70344 | POS y : 7.72022 | State : 1 |
Time :1390156056 | POS x : -2.73579 | POS y : 6.72177 | State : 1 |
Time :1390156056 | POS x : -3.23457 | POS y : 5.85663 | State : 1 |
Time :1390156057 | POS x : -3.61686 | POS y : 4.934 | State : 1 |
Time :1390156057 | POS x : -2.6745 | POS y : 4.5976 | State : 1 |
Time :1390156057 | POS x : -2.30728 | POS y : 5.52913 | State : 1 |
Time :1390156057 | POS x : -1.46215 | POS y : 6.06627 | State : 1 |
Time :1390156057 | POS x : -1.21865 | POS y : 7.03742 | State : 1 |
Time :1390156058 | POS x : -2.20225 | POS y : 7.21325 | State : 1 |
Time :1390156058 | POS x : -3.08087 | POS y : 7.68993 | State : 1 |
Time :1390156058 | POS x : -3.99121 | POS y : 7.27928 | State : 1 |
Time :1390156058 | POS x : -4.77138 | POS y : 6.65596 | State : 1 |
Time :1390156058 | POS x : -5.50597 | POS y : 5.97953 | State : 1 |
Time :1390156059 | POS x : -5.08495 | POS y : 5.07302 | State : 1 |
Time :1390156059 | POS x : -5.45164 | POS y : 4.14407 | State : 1 |
Time :1390156059 | POS x : -6.0922 | POS y : 3.378 | State : 1 |
Time :1390156059 | POS x : -6.10773 | POS y : 2.37914 | State : 1 |
Time :1390156059 | POS x : -5.17344 | POS y : 2.02102 | State : 1 |
Time :1390156060 | POS x : -4.77983 | POS y : 1.10231 | State : 1 |
Time :1390156060 | POS x : -3.92491 | POS y : 0.582907 | State : 1 |
Time :1390156060 | POS x : -3.01191 | POS y : 0.99411 | State : 1 |
