Time :1390156017 | POS x : 0.558022 | POS y : -0.829497 | State : 1 |
Time :1390156018 | POS x : 0.74145 | POS y : -1.62092 | State : 1 |
Time :1390156019 | POS x : 0.435609 | POS y : -4.45302 | State : 1 |
Time :1390156019 | POS x : 0.347524 | POS y : -5.44804 | State : 1 |
Time :1390156019 | POS x : 0.229602 | POS y : -6.43994 | State : 1 |
Time :1390156019 | POS x : -0.545968 | POS y : -7.06897 | State : 1 |
Time :1390156019 | POS x : 0.302287 | POS y : -7.59916 | State : 1 |
Time :1390156020 | POS x : 0.88497 | POS y : -6.78475 | State : 1 |
Time :1390156020 | POS x : 0.727438 | POS y : -5.79639 | State : 1 |
Time :1390156020 | POS x : 1.05323 | POS y : -4.84961 | State : 1 |
Time :1390156020 | POS x : 1.2242 | POS y : -3.86316 | State : 1 |
Time :1390156020 | POS x : 1.14608 | POS y : -2.86529 | State : 1 |
Time :1390156021 | POS x : 0.7769 | POS y : -1.93533 | State : 1 |
Time :1390156021 | POS x : 0.688815 | POS y : -0.938309 | State : 1 |
Time :1390156021 | POS x : -0.0675081 | POS y : -0.284268 | State : 1 |
Time :1390156021 | POS x : -0.439646 | POS y : -1.21104 | State : 1 |
Time :1390156021 | POS x : -0.0792591 | POS y : -2.14323 | State : 1 |
Time :1390156022 | POS x : -0.060649 | POS y : -3.14208 | State : 1 |
Time :1390156022 | POS x : -0.376482 | POS y : -4.08956 | State : 1 |
Time :1390156022 | POS x : -1.23909 | POS y : -4.59272 | State : 1 |
Time :1390156022 | POS x : -1.15059 | POS y : -5.58788 | State : 1 |
Time :1390156022 | POS x : -1.12199 | POS y : -6.5865 | State : 1 |
Time :1390156023 | POS x : -0.626181 | POS y : -7.4545 | State : 1 |
Time :1390156023 | POS x : -0.0218975 | POS y : -8.25103 | State : 1 |
Time :1390156023 | POS x : 0.789002 | POS y : -7.66346 | State : 1 |
Time :1390156023 | POS x : 1.73707 | POS y : -7.34143 | State : 1 |
Time :1390156023 | POS x : 2.71101 | POS y : -7.57151 | State : 1 |
Time :1390156024 | POS x : 3.17167 | POS y : -8.45861 | State : 1 |
Time :1390156024 | POS x : 3.01099 | POS y : -9.44445 | State : 1 |
